11.01,KABUPATEN ACEH SELATAN
11.02,KABUPATEN ACEH TENGGARA
11.03,KABUPATEN ACEH TIMUR
11.04,KABUPATEN ACEH TENGAH
11.05,KABUPATEN ACEH BARAT
11.06,KABUPATEN ACEH BESAR
11.07,KABUPATEN PIDIE
11.08,KABUPATEN ACEH UTARA
11.09,KABUPATEN SIMEULUE
11.10,KABUPATEN ACEH SINGKIL
11.11,KABUPATEN BIREUEN
11.12,KABUPATEN ACEH BARAT DAYA
11.13,KABUPATEN GAYO LUES
11.14,KABUPATEN ACEH JAYA
11.15,KABUPATEN NAGAN RAYA
11.16,KABUPATEN ACEH TAMIANG
11.17,KABUPATEN BENER MERIAH
11.18,KABUPATEN PIDIE JAYA
11.71,KOTA BANDA ACEH
11.72,KOTA SABANG
11.73,KOTA LHOKSEUMAWE
11.74,KOTA LANGSA
11.75,KOTA SUBULUSSALAM
12.01,KABUPATEN TAPANULI TENGAH
12.02,KABUPATEN TAPANULI UTARA
12.03,KABUPATEN TAPANULI SELATAN
12.04,KABUPATEN NIAS
12.05,KABUPATEN LANGKAT
12.06,KABUPATEN KARO
12.07,KABUPATEN DELI SERDANG
12.08,KABUPATEN SIMALUNGUN
12.09,KABUPATEN ASAHAN
12.10,KABUPATEN LABUHANBATU
12.11,KABUPATEN DAIRI
12.12,KABUPATEN TOBA SAMOSIR
12.13,KABUPATEN MANDAILING NATAL
12.14,KABUPATEN NIAS SELATAN
12.15,KABUPATEN PAKPAK BHARAT
12.16,KABUPATEN HUMBANG HASUNDUTAN
12.17,KABUPATEN SAMOSIR
12.18,KABUPATEN SERDANG BEDAGAI
12.19,KABUPATEN BATU BARA
12.20,KABUPATEN PADANG LAWAS UTARA
12.21,KABUPATEN PADANG LAWAS
12.22,KABUPATEN LABUHANBATU SELATAN
12.23,KABUPATEN LABUHANBATU UTARA
12.24,KABUPATEN NIAS UTARA
12.25,KABUPATEN NIAS BARAT
12.71,KOTA MEDAN
12.72,KOTA PEMATANGSIANTAR
12.73,KOTA SIBOLGA
12.74,KOTA TANJUNG BALAI
12.75,KOTA BINJAI
12.76,KOTA TEBING TINGGI
12.77,KOTA PADANG SIDEMPUAN
12.78,KOTA GUNUNGSITOLI
13.01,KABUPATEN PESISIR SELATAN
13.02,KABUPATEN SOLOK
13.03,KABUPATEN SIJUNJUNG
13.04,KABUPATEN TANAH DATAR
13.05,KABUPATEN PADANG PARIAMAN
13.06,KABUPATEN AGAM
13.07,KABUPATEN LIMA PULUH KOTA
13.08,KABUPATEN PASAMAN
13.09,KABUPATEN KEPULAUAN MENTAWAI
13.10,KABUPATEN DHARMASRAYA
13.11,KABUPATEN SOLOK SELATAN
13.12,KABUPATEN PASAMAN BARAT
13.71,KOTA PADANG
13.72,KOTA SOLOK
13.73,KOTA SAWAHLUNTO
13.74,KOTA PADANG PANJANG
13.75,KOTA BUKITTINGGI
13.76,KOTA PAYAKUMBUH
13.77,KOTA PARIAMAN
14.01,KABUPATEN KAMPAR
14.02,KABUPATEN INDRAGIRI HULU
14.03,KABUPATEN BENGKALIS
14.04,KABUPATEN INDRAGIRI HILIR
14.05,KABUPATEN PELALAWAN
14.06,KABUPATEN ROKAN HULU
14.07,KABUPATEN ROKAN HILIR
14.08,KABUPATEN SIAK
14.09,KABUPATEN KUANTAN SINGINGI
14.10,KABUPATEN KEPULAUAN MERANTI
14.71,KOTA PEKANBARU
14.72,KOTA DUMAI
15.01,KABUPATEN KERINCI
15.02,KABUPATEN MERANGIN
